,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,33,31,1,3,False,0
1,triangulation,20,0.5,48,33,32,2,5,False,1
2,triangulation,20,0.5,50,33,30,3,2,False,2
3,triangulation,20,0.5,49,33,31,4,5,False,3
4,triangulation,20,0.5,50,33,33,2,4,False,4
5,triangulation,20,0.5,46,33,31,2,6,False,5
6,triangulation,20,0.5,51,33,32,3,3,False,6
7,triangulation,20,0.5,46,33,32,0,5,False,7
8,triangulation,20,0.5,49,33,33,1,4,False,8
9,triangulation,20,0.5,51,33,33,4,5,False,9
10,triangulation,20,0.5,48,33,32,1,4,False,10
11,triangulation,20,0.5,51,33,30,4,2,False,11
12,triangulation,20,0.5,50,33,32,1,2,False,12
13,triangulation,20,0.5,49,33,31,2,3,False,13
14,triangulation,20,0.5,47,33,31,2,5,False,14
15,triangulation,20,0.5,50,33,31,2,2,False,15
16,triangulation,20,0.5,47,33,32,4,8,False,16
17,triangulation,20,0.5,50,33,32,5,6,False,17
18,triangulation,20,0.5,50,33,33,1,3,False,18
19,triangulation,20,0.5,50,33,33,1,3,False,19
20,triangulation,20,0.5,51,33,33,4,5,False,20
21,triangulation,20,0.5,47,33,33,2,7,False,21
22,triangulation,20,0.5,50,33,32,5,6,False,22
23,triangulation,20,0.5,47,33,33,1,6,False,23
24,triangulation,20,0.5,50,33,33,2,4,False,24
25,triangulation,20,0.5,49,33,32,0,2,False,25
26,triangulation,20,0.5,49,33,30,3,3,False,26
27,triangulation,20,0.5,48,33,32,1,4,False,27
28,triangulation,20,0.5,50,33,32,3,4,False,28
29,triangulation,20,0.5,50,33,33,2,4,False,29
30,triangulation,20,0.5,50,33,33,3,5,False,30
31,triangulation,20,0.5,48,33,31,1,3,False,31
32,triangulation,20,0.5,50,33,33,2,4,False,32
33,triangulation,20,0.5,51,33,32,4,4,False,33
34,triangulation,20,0.5,47,33,33,3,8,False,34
35,triangulation,20,0.5,50,33,33,1,3,False,35
36,triangulation,20,0.5,48,33,28,4,3,False,36
37,triangulation,20,0.5,48,33,31,1,3,False,37
38,triangulation,20,0.5,50,33,30,2,1,False,38
39,triangulation,20,0.5,52,33,33,5,5,False,39
40,triangulation,20,0.5,48,33,32,2,5,False,40
41,triangulation,20,0.5,49,33,31,2,3,False,41
42,triangulation,20,0.5,51,33,32,2,2,False,42
43,triangulation,20,0.5,49,33,32,3,5,False,43
44,triangulation,20,0.5,48,33,32,3,6,False,44
45,triangulation,20,0.5,51,33,31,4,3,False,45
46,triangulation,20,0.5,51,33,32,7,7,False,46
47,triangulation,20,0.5,48,33,32,4,7,False,47
48,triangulation,20,0.5,49,33,33,2,5,False,48
49,triangulation,20,0.5,50,33,33,2,4,False,49
