,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,72,65,0,36,False,0
1,triangulation,20,0.5,48,72,67,0,38,False,1
2,triangulation,20,0.5,50,72,69,0,38,False,2
3,triangulation,20,0.5,49,72,65,0,35,False,3
4,triangulation,20,0.5,50,72,70,0,39,False,4
5,triangulation,20,0.5,46,72,65,0,38,False,5
6,triangulation,20,0.5,51,72,71,0,39,False,6
7,triangulation,20,0.5,46,72,67,0,40,False,7
8,triangulation,20,0.5,49,72,62,0,32,False,8
9,triangulation,20,0.5,51,72,66,0,34,False,9
10,triangulation,20,0.5,48,72,66,0,37,False,10
11,triangulation,20,0.5,51,72,68,0,36,False,11
12,triangulation,20,0.5,50,72,66,0,35,False,12
13,triangulation,20,0.5,49,72,69,0,39,False,13
14,triangulation,20,0.5,47,72,66,0,38,False,14
15,triangulation,20,0.5,50,72,67,0,36,False,15
16,triangulation,20,0.5,47,72,65,0,37,False,16
17,triangulation,20,0.5,50,72,66,0,35,False,17
18,triangulation,20,0.5,50,72,69,0,38,False,18
19,triangulation,20,0.5,50,72,63,0,32,False,19
20,triangulation,20,0.5,51,72,68,0,36,False,20
21,triangulation,20,0.5,47,72,69,0,41,False,21
22,triangulation,20,0.5,50,72,67,0,36,False,22
23,triangulation,20,0.5,47,72,70,0,42,False,23
24,triangulation,20,0.5,50,72,69,0,38,False,24
25,triangulation,20,0.5,49,72,65,0,35,False,25
26,triangulation,20,0.5,49,72,64,1,35,False,26
27,triangulation,20,0.5,48,72,68,0,39,False,27
28,triangulation,20,0.5,50,72,64,0,33,False,28
29,triangulation,20,0.5,50,72,71,0,40,False,29
30,triangulation,20,0.5,50,72,70,0,39,False,30
31,triangulation,20,0.5,48,72,68,0,39,False,31
32,triangulation,20,0.5,50,72,67,0,36,False,32
33,triangulation,20,0.5,51,72,65,0,33,False,33
34,triangulation,20,0.5,47,72,68,0,40,False,34
35,triangulation,20,0.5,50,72,69,0,38,False,35
36,triangulation,20,0.5,48,72,60,0,31,False,36
37,triangulation,20,0.5,48,72,65,0,36,False,37
38,triangulation,20,0.5,50,72,61,0,30,False,38
39,triangulation,20,0.5,52,72,68,0,35,False,39
40,triangulation,20,0.5,48,72,62,0,33,False,40
41,triangulation,20,0.5,49,72,65,0,35,False,41
42,triangulation,20,0.5,51,72,68,0,36,False,42
43,triangulation,20,0.5,49,72,63,0,33,False,43
44,triangulation,20,0.5,48,72,65,0,36,False,44
45,triangulation,20,0.5,51,72,66,0,34,False,45
46,triangulation,20,0.5,51,72,62,0,30,False,46
47,triangulation,20,0.5,48,72,68,1,40,False,47
48,triangulation,20,0.5,49,72,67,0,37,False,48
49,triangulation,20,0.5,50,72,70,0,39,False,49
