,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,54,50,0,21,False,0
1,triangulation,20,0.5,48,54,51,0,22,False,1
2,triangulation,20,0.5,50,54,51,1,21,False,2
3,triangulation,20,0.5,49,54,50,0,20,False,3
4,triangulation,20,0.5,50,54,53,0,22,False,4
5,triangulation,20,0.5,46,54,51,0,24,False,5
6,triangulation,20,0.5,51,54,53,0,21,False,6
7,triangulation,20,0.5,46,54,53,0,26,False,7
8,triangulation,20,0.5,49,54,50,0,20,False,8
9,triangulation,20,0.5,51,54,51,1,20,False,9
10,triangulation,20,0.5,48,54,51,0,22,False,10
11,triangulation,20,0.5,51,54,51,0,19,False,11
12,triangulation,20,0.5,50,54,52,0,21,False,12
13,triangulation,20,0.5,49,54,52,0,22,False,13
14,triangulation,20,0.5,47,54,51,1,24,False,14
15,triangulation,20,0.5,50,54,51,0,20,False,15
16,triangulation,20,0.5,47,54,50,1,23,False,16
17,triangulation,20,0.5,50,54,51,0,20,False,17
18,triangulation,20,0.5,50,54,53,0,22,False,18
19,triangulation,20,0.5,50,54,48,0,17,False,19
20,triangulation,20,0.5,51,54,52,1,21,False,20
21,triangulation,20,0.5,47,54,53,1,26,False,21
22,triangulation,20,0.5,50,54,52,0,21,False,22
23,triangulation,20,0.5,47,54,52,0,24,False,23
24,triangulation,20,0.5,50,54,52,0,21,False,24
25,triangulation,20,0.5,49,54,52,0,22,False,25
26,triangulation,20,0.5,49,54,48,1,19,False,26
27,triangulation,20,0.5,48,54,51,0,22,False,27
28,triangulation,20,0.5,50,54,48,0,17,False,28
29,triangulation,20,0.5,50,54,54,0,23,False,29
30,triangulation,20,0.5,50,54,53,0,22,False,30
31,triangulation,20,0.5,48,54,52,0,23,False,31
32,triangulation,20,0.5,50,54,52,0,21,False,32
33,triangulation,20,0.5,51,54,50,0,18,False,33
34,triangulation,20,0.5,47,54,52,0,24,False,34
35,triangulation,20,0.5,50,54,54,0,23,False,35
36,triangulation,20,0.5,48,54,46,1,18,False,36
37,triangulation,20,0.5,48,54,51,0,22,False,37
38,triangulation,20,0.5,50,54,47,0,16,False,38
39,triangulation,20,0.5,52,54,52,0,19,False,39
40,triangulation,20,0.5,48,54,48,1,20,False,40
41,triangulation,20,0.5,49,54,51,0,21,False,41
42,triangulation,20,0.5,51,54,51,0,19,False,42
43,triangulation,20,0.5,49,54,48,0,18,False,43
44,triangulation,20,0.5,48,54,50,0,21,False,44
45,triangulation,20,0.5,51,54,50,0,18,False,45
46,triangulation,20,0.5,51,54,47,1,16,False,46
47,triangulation,20,0.5,48,54,52,1,24,False,47
48,triangulation,20,0.5,49,54,53,0,23,False,48
49,triangulation,20,0.5,50,54,53,0,22,False,49
