,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,triangulation,20,0.5,48,86,78,0,49,False,0
1,triangulation,20,0.5,48,86,79,0,50,False,1
2,triangulation,20,0.5,50,86,81,0,50,False,2
3,triangulation,20,0.5,49,86,77,0,47,False,3
4,triangulation,20,0.5,50,86,83,0,52,False,4
5,triangulation,20,0.5,46,86,75,0,48,False,5
6,triangulation,20,0.5,51,86,84,0,52,False,6
7,triangulation,20,0.5,46,86,76,0,49,False,7
8,triangulation,20,0.5,49,86,74,0,44,False,8
9,triangulation,20,0.5,51,86,76,0,44,False,9
10,triangulation,20,0.5,48,86,79,0,50,False,10
11,triangulation,20,0.5,51,86,79,0,47,False,11
12,triangulation,20,0.5,50,86,78,0,47,False,12
13,triangulation,20,0.5,49,86,79,0,49,False,13
14,triangulation,20,0.5,47,86,78,0,50,False,14
15,triangulation,20,0.5,50,86,78,0,47,False,15
16,triangulation,20,0.5,47,86,76,0,48,False,16
17,triangulation,20,0.5,50,86,76,0,45,False,17
18,triangulation,20,0.5,50,86,82,0,51,False,18
19,triangulation,20,0.5,50,86,73,0,42,False,19
20,triangulation,20,0.5,51,86,80,0,48,False,20
21,triangulation,20,0.5,47,86,81,0,53,False,21
22,triangulation,20,0.5,50,86,80,0,49,False,22
23,triangulation,20,0.5,47,86,81,0,53,False,23
24,triangulation,20,0.5,50,86,83,0,52,False,24
25,triangulation,20,0.5,49,86,77,0,47,False,25
26,triangulation,20,0.5,49,86,76,0,46,False,26
27,triangulation,20,0.5,48,86,80,0,51,False,27
28,triangulation,20,0.5,50,86,76,0,45,False,28
29,triangulation,20,0.5,50,86,82,0,51,False,29
30,triangulation,20,0.5,50,86,80,0,49,False,30
31,triangulation,20,0.5,48,86,82,0,53,False,31
32,triangulation,20,0.5,50,86,81,0,50,False,32
33,triangulation,20,0.5,51,86,78,0,46,False,33
34,triangulation,20,0.5,47,86,77,0,49,False,34
35,triangulation,20,0.5,50,86,76,0,45,False,35
36,triangulation,20,0.5,48,86,73,0,44,False,36
37,triangulation,20,0.5,48,86,76,0,47,False,37
38,triangulation,20,0.5,50,86,73,0,42,False,38
39,triangulation,20,0.5,52,86,80,0,47,False,39
40,triangulation,20,0.5,48,86,75,0,46,False,40
41,triangulation,20,0.5,49,86,77,0,47,False,41
42,triangulation,20,0.5,51,86,79,0,47,False,42
43,triangulation,20,0.5,49,86,74,0,44,False,43
44,triangulation,20,0.5,48,86,77,0,48,False,44
45,triangulation,20,0.5,51,86,77,0,45,False,45
46,triangulation,20,0.5,51,86,72,0,40,False,46
47,triangulation,20,0.5,48,86,79,1,51,False,47
48,triangulation,20,0.5,49,86,79,0,49,False,48
49,triangulation,20,0.5,50,86,84,0,53,False,49
