,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,44,58,28,0,False,0
1,cellular_er,20,0.5,100,44,44,37,0,False,1
2,cellular_er,20,0.5,82,44,46,17,0,False,2
3,cellular_er,20,0.5,93,44,54,20,0,False,3
4,cellular_er,20,0.5,98,44,30,49,0,False,4
5,cellular_er,20,0.5,81,44,41,21,0,False,5
6,cellular_er,20,0.5,105,44,54,32,0,False,6
7,cellular_er,20,0.5,100,44,32,49,0,False,7
8,cellular_er,20,0.5,84,44,42,23,0,False,8
9,cellular_er,20,0.5,101,44,32,50,0,False,9
10,cellular_er,20,0.5,97,44,38,40,0,False,10
11,cellular_er,20,0.5,90,44,40,31,0,False,11
12,cellular_er,20,0.5,97,44,39,39,0,False,12
13,cellular_er,20,0.5,92,44,57,16,0,False,13
14,cellular_er,20,0.5,85,44,54,12,0,False,14
15,cellular_er,20,0.5,100,44,48,33,0,False,15
16,cellular_er,20,0.5,95,44,27,49,0,False,16
17,cellular_er,20,0.5,92,44,42,31,0,False,17
18,cellular_er,20,0.5,108,44,52,37,0,False,18
19,cellular_er,20,0.5,110,44,39,52,0,False,19
20,cellular_er,20,0.5,84,44,32,33,0,False,20
21,cellular_er,20,0.5,118,44,39,60,0,False,21
22,cellular_er,20,0.5,97,44,47,31,0,False,22
23,cellular_er,20,0.5,94,44,46,29,0,False,23
24,cellular_er,20,0.5,93,44,42,32,0,False,24
25,cellular_er,20,0.5,86,44,49,18,0,False,25
26,cellular_er,20,0.5,105,44,47,39,0,False,26
27,cellular_er,20,0.5,87,44,49,19,0,False,27
28,cellular_er,20,0.5,111,44,50,42,0,False,28
29,cellular_er,20,0.5,92,44,46,27,0,False,29
30,cellular_er,20,0.5,97,44,39,39,0,False,30
31,cellular_er,20,0.5,96,44,36,41,0,False,31
32,cellular_er,20,0.5,72,44,39,14,0,False,32
33,cellular_er,20,0.5,93,44,56,18,0,False,33
34,cellular_er,20,0.5,106,44,48,39,0,False,34
35,cellular_er,20,0.5,103,44,58,26,0,False,35
36,cellular_er,20,0.5,90,44,56,15,0,False,36
37,cellular_er,20,0.5,96,44,47,30,0,False,37
38,cellular_er,20,0.5,106,44,50,37,0,False,38
39,cellular_er,20,0.5,94,44,40,35,0,False,39
40,cellular_er,20,0.5,91,44,41,31,0,False,40
41,cellular_er,20,0.5,111,44,42,50,0,False,41
42,cellular_er,20,0.5,92,44,50,23,0,False,42
43,cellular_er,20,0.5,95,44,36,40,0,False,43
44,cellular_er,20,0.5,95,44,46,30,0,False,44
45,cellular_er,20,0.5,99,44,38,42,0,False,45
46,cellular_er,20,0.5,100,44,47,34,0,False,46
47,cellular_er,20,0.5,95,44,33,43,0,False,47
48,cellular_er,20,0.5,98,44,45,34,0,False,48
49,cellular_er,20,0.5,92,44,42,31,0,False,49
