,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,83,35.91836734693877,0.0,71.61472133727561,11517,,11694,71.61472133727561,0,november17,0.0,0.2857142857142857
1,4,318,146.23906705539355,0.0,299.82808077436084,9638,,9624,299.82808077436084,0,november17,0.0,0.2857142857142857
2,5,1260,601.6693044564763,0.0,1344.7600605253272,7952,,7806,1344.7600605253272,0,november17,0.0,0.2857142857142857
3,6,4899,2435.328137085737,0.0,5678.068579439985,6062,,6090,5678.068579439985,0,november17,0.0,0.2857142857142857
4,7,17807,9542.510251437989,0.0,23237.335043523628,4353,,4335,23237.335043523628,0,november17,0.0,0.2857142857142857
5,8,58905,35784.41344289246,0.0,82130.33855981438,2730,,2717,82130.33855981438,0,november17,0.0,0.2857142857142857
6,9,173552,127233.47001917318,0.0,252921.34534497836,1521,,1585,252921.34534497836,0,november17,0.0,0.2857142857142857
7,10,446719,425323.3140640932,0.0,667870.8412635969,739,,732,667870.8412635969,0,november17,0.0,0.2857142857142857
8,11,983732,1325683.0568231477,0.0,1583205.6912092709,324,,278,1583205.6912092709,0,november17,0.0,0.2857142857142857
9,12,1815071,3819229.758942878,0.0,3008205.699545581,126,,91,3008205.699545581,0,november17,0.0,0.2857142857142857
10,13,2741698,10072693.869739456,0.0,4238484.882578648,35,,36,4238484.882578648,0,november17,0.0,0.2857142857142857
11,14,3275954,24051126.178765636,0.0,2322689.29684561,3,,9,2322689.29684561,0,november17,0.0,0.2857142857142857
12,15,2917036,51309069.1813667,0.0,0.0,0,,3,51309069.1813667,0,november17,0.0,0.2857142857142857
13,16,1724264,96204504.71506256,0.0,0.0,0,0.0,0,96204504.71506256,0,november17,0.0,0.2857142857142857
14,17,533656,155220713.48984882,0.0,0.0,0,0.0,0,155220713.48984882,0,november17,0.0,0.2857142857142857
15,18,51424,209424772.16884363,0.0,0.0,0,0.0,0,209424772.16884363,0,november17,0.0,0.2857142857142857
16,19,0,226745617.98731938,0.0,0.0,0,0.0,0,226745617.98731938,0,november17,0.0,0.2857142857142857
17,20,0,184635717.50396007,0.0,0.0,0,0.0,0,184635717.50396007,0,november17,0.0,0.2857142857142857
18,21,0,100482023.13140684,0.0,0.0,0,0.0,0,100482023.13140684,0,november17,0.0,0.2857142857142857
19,22,0,27404188.126747314,0.0,0.0,0,0.0,0,27404188.126747314,0,november17,0.0,0.2857142857142857
