,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,83,35.91836734693877,0.0,71.27288931577257,11490,,11469,71.27288931577257,1,november17,0.0,0.2857142857142857
1,4,318,146.23906705539355,0.0,296.15026809491746,9576,,9459,296.15026809491746,1,november17,0.0,0.2857142857142857
2,5,1260,601.6693044564763,0.0,1291.9380944517698,7656,,7833,1291.9380944517698,1,november17,0.0,0.2857142857142857
3,6,4899,2435.328137085737,0.0,5883.738787894679,6185,,6137,5883.738787894679,1,november17,0.0,0.2857142857142857
4,7,17807,9542.510251437989,0.0,23182.949698755707,4381,,4426,23182.949698755707,1,november17,0.0,0.2857142857142857
5,8,58905,35784.41344289246,0.0,83719.80917251036,2781,,2859,83719.80917251036,1,november17,0.0,0.2857142857142857
6,9,173552,127233.47001917318,0.0,263681.7602223363,1583,,1544,263681.7602223363,1,november17,0.0,0.2857142857142857
7,10,446719,425323.3140640932,0.0,772311.3864688016,838,,806,772311.3864688016,1,november17,0.0,0.2857142857142857
8,11,983732,1325683.0568231477,0.0,1739130.6414255383,361,,321,1739130.6414255383,1,november17,0.0,0.2857142857142857
9,12,1815071,3819229.758942878,0.0,2980857.6416519755,116,,110,2980857.6416519755,1,november17,0.0,0.2857142857142857
10,13,2741698,10072693.869739456,0.0,3108672.0427766675,24,,29,3108672.0427766675,1,november17,0.0,0.2857142857142857
11,14,3275954,24051126.178765636,0.0,3443314.75098636,7,,5,3443314.75098636,1,november17,0.0,0.2857142857142857
12,15,2917036,51309069.1813667,0.0,4338569.850098237,1,,1,4338569.850098237,1,november17,0.0,0.2857142857142857
13,16,1724264,96204504.71506256,0.0,14338378.03759189,1,,1,14338378.03759189,1,november17,0.0,0.2857142857142857
14,17,533656,155220713.48984882,0.0,0.0,0,0.0,0,155220713.48984882,1,november17,0.0,0.2857142857142857
15,18,51424,209424772.16884363,0.0,0.0,0,0.0,0,209424772.16884363,1,november17,0.0,0.2857142857142857
16,19,0,226745617.98731938,0.0,0.0,0,0.0,0,226745617.98731938,1,november17,0.0,0.2857142857142857
17,20,0,184635717.50396007,0.0,0.0,0,0.0,0,184635717.50396007,1,november17,0.0,0.2857142857142857
18,21,0,100482023.13140684,0.0,0.0,0,0.0,0,100482023.13140684,1,november17,0.0,0.2857142857142857
19,22,0,27404188.126747314,0.0,0.0,0,0.0,0,27404188.126747314,1,november17,0.0,0.2857142857142857
